topic,level_1,qids,qstr,num_words,questions,result,filtered_result,correct_result,overlap,error_type
Transport phenomena,11,G-META-13-14,MCQS,24,Which one of the following can give information about the corrosion rate?  (A) Pourbaix diagram (B) Polarization technique (C) EMF series (D) Galvanic series , [B] Polarization technique.,,,0,
Transport phenomena,12,G-META-14-32,MATCH,73,"2 Match the types of corrosion in Group I with their examples in Group II.  Group I: [P. Galvanic corrosion, Q. Filiform corrosion, R. Stress corrosion cracking, S. Crevice corrosion]  Group II: [1. Season cracking in brass, 2. Nut-bolt assembly with gasket, 3. Brass fittings joined with lead-tin solder, 4. Painted food can]    Options:(A) P-4, Q-1, R-2, S-3 (B) P-3, Q-1, R-4, S-2 (C) P-3, Q-4, R-1, S-2 (D) P-4, Q-2, R-3, S-1"," [B] P-3, Q-1, R-4, S-2
Explanation: 
1. Galvanic corrosion occurs when two different metals are in contact with an electrolyte. It is not directly related to the examples given in Group II.
2. Filiform corrosion is a type of localized attack that forms thread-like filaments on the surface of metal. It is not directly related to the examples given in Group II.
3. Stress corrosion cracking occurs when a tensile stress is present in a material and it is exposed to a specific corrosive environment. Example: Nut-bolt assembly with gasket under cyclic loading.
4. Crevice corrosion occurs in confined spaces where the flow of electrolyte is restricted, such as between two mating surfaces or inside a pit. Examples: Brass fittings joined with lead-tin solder and painted food cans.
Therefore, the correct answer is [B] P-3, Q-1, R-4, S-2.",,,0,
Transport phenomena,13,G-META-14-37,NUM,40,"Assume that Sievert's law holds for solubility of hydrogen dissolved in a thin metal foil. If the partial pressure of hydrogen in contact with the foil is increased by a factor of 4, the solubility increases by a factor of"," [2]
Explanation: According to Sievert's law, the solubility of a gas in a liquid or solid is directly proportional to the partial pressure of that gas above the surface of the liquid or solid. Therefore, if the partial pressure is increased by a factor of 4, the solubility will also increase by a factor of 2 (since the relationship is proportional). However, since the question asks for the answer in a list format, we simply write [2] as the answer.",,,0,
Transport phenomena,14,G-META-15-10,MCQS,57,"A species can diffuse through the lattice (diffusion coefficient, $D_L$ ), along grain boundaries (diffusion coefficient, $D_(GB)$ ), and along free surfaces (diffusion coefficient, $D_S$ ). Which of the following relations is CORRECT?  (A) $D_L$ > $D_(GB)$ > $D_S$ (B) $D_S$ > $D_L$ > $D_(GB)$ (C) $D_(GB)$ > $D_S$ > $D_L$ (D) $D_S$ > $D_(GB)$ > $D_L$"," The correct answer is not provided in the question. However, I can give you some information that might help you understand which relation could be correct depending on the specific context.
The diffusion coefficient through a lattice ($D_L$) is generally smaller than the diffusion coefficient along grain boundaries ($D_(GB)$ ) because grain boundaries provide more sites for atomic jumps to occur due to their higher concentration of defects and irregularities. The diffusion coefficient along free surfaces ($D_S$) is typically even larger than $D_(GB)$ because there are no lattice constraints at all, allowing atoms to move freely in three dimensions.
Therefore, based on this general understanding, the correct answer would be (B) $D_S$ > $D_L$ > $D_(GB)$. However, it's important to note that this may not always be the case, as the specific values of these coefficients can depend on various factors such as temperature, pressure, and the nature of the material itself.",,,0,
Transport phenomena,15,G-META-15-41,NUM,36,"Given: Diffusivity, $D_(1373K)$ = $10^(-18)m^2s^(-1) and $D_(1273K) = 10^(-19)m^2s^(-1). It takes 10 hours to homogenize an alloy at 1273 K. The time required (in hours) to achieve the same extent of homogenization at 1373 K is?"," ___________
Explanation:
The rate of diffusion, $J$, is given by Fick's first law as:
$J = -D \frac{dC}{dx}$
where $D$ is the diffusivity and $\frac{dC}{dx}$ is the concentration gradient.
At steady state, the flux is constant throughout the system, so we can write:
$-D_1\frac{dC_1}{dx} = -D_2\frac{dC_2}{dx}$
Dividing both sides by $D_1$ and rearranging, we get:
$\frac{dC_1}{dx} = \frac{D_2}{D_1}\frac{dC_2}{dx}$
Integrating both sides with respect to $x$, we get:
$\int_{C_{1i}}^{C_{1f}} dC_1 = \frac{D_2}{D_1} \int_{C_{2i}}^{C_{2f}} dC_2$
where $C_{1i}$ and $C_{1f}$ are the initial and final concentrations of the alloy at temperature $T_1$, and $C_{2i}$ and $C_{2f}$ are the corresponding concentrations at temperature $T_2$.
We can assume that the initial and final concentrations are the same, so we have:
$\Delta C = C_{1f} - C_{1i} = C_{2f} - C_{2i}$
Using the given information, we have:
$\frac{\Delta C}{10 hours} = \frac{D_2}{D_1}\frac{\Delta C}{t_{hom, 2}}$
where $t_{hom, 1} = 10 hours$ and $t_{hom, 2}$ is the time required for homogenization at temperature $T_2$.
Solving for $t_{hom, 2}$, we get:
$t_{hom, 2} = \frac{D_1}{D_2} t_{hom, 1}$
Substituting the given values, we have:
$t_{hom, 2} = \frac{10^{-18}}{10^{-19}} (10 hours) = 10^3 (10 hours) = 10,003 hours$
Therefore, the answer is [10003]. However, it's important to note that this result seems implausible, as it suggests that homogenization takes over three orders of magnitude longer at the higher temperature. This may indicate an error in the given information or assumptions.",,,0,
Transport phenomena,16,G-META-17-6,MCQS,69,"Given: (i) $C_b$ = bulk concentration of dissolved Al in liquid steel, (ii) C* = saturation concentration of Al in liquid steel at the given temperature, (iii) $C_m$ = Density of Al/Atomic weight of Al. The rate of dissolution of Al particles in liquid steel is proportional to concentration difference (ΔC).ΔC is defined by:  (A) C*- $C_b$ (B) $C_b$ - $C_m$ (C) C* - $C_m$ (D) $[C*C_(m)]^(1/2)$ - $C_b$", [A] C*- $C_b$,,,0,
Transport phenomena,17,G-META-17-7,NUM,60,"Hydrogen dissolves in Pd by the reaction $H_2$ = 2 [H]. At 300°C and $P_(H_2)$ = 1 atm, the solubility of hydrogen in Pd is 1.64 * $10^(4)mm^(3)$ (STP) per kg of Pd. At 300°C and $P_(H_2)$ = 0.09 atm, the solubility of hydrogen in Pd in $mm^3$ (STP) per kg of Pd is? (answer up to one decimal place)"," ___________ mm^3/kg
Explanation: The solubility of a gas in a metal can be calculated using Henry's Law, which states that the amount of a gas dissolved in a liquid or solid is directly proportional to the pressure of the gas above the solution. In this case, we are given the solubility at one pressure and need to find it at another pressure.
We can use the following equation:
$S_2 = S_1 * (P_2 / P_1)$
where $S_1$ is the solubility at the first pressure, $S_2$ is the solubility at the second pressure, $P_1$ is the first pressure, and $P_2$ is the second pressure.
First, we need to convert the given pressures to atm:
$P_(H_2)$ = 1 atm (given)
$P_(H_2)$ = 0.09 atm
Now, we can calculate the solubility at the second pressure:
$S_2 = 1.64 * 10^(4) mm^3/kg * (0.09 atm / 1 atm)$
$S_2 = 1.64 * 10^(4) mm^3/kg * 0.09$
$S_2 = 1.48 * 10^(4) mm^3/kg$ (rounded to one decimal place)
Therefore, the answer is approximately $1.5 * 10^(4)$ mm^3/kg. However, since the question asks for an answer up to one decimal place, we can round down to $1.4 * 10^(4)$ mm^3/kg as a more conservative estimate.
Answer: [1.4 * 10^(4)] mm^3/kg",,,0,
Transport phenomena,18,G-META-18-9,MCQS,48,"Which of the following materials are protected by passivation (i.e., formation of a thin adherent film on the surface) from corrosion? P. Aluminium alloys, Q. Mild steel, R. Stainless steel, S. Silver  (A) P & Q (B) Q & R (C) Q & S (D) P & R", [D] P & R,,,0,
Transport phenomena,19,G-META-18-25,NUM,54,Given: The interdiffusion coefficient for copper in aluminium at 500°C and 600°C are 4*$10^(-14)$ $m^(2)s^(-1)$ and 8 * $10^(-13)m^(2)s^(-1)$. A copper-aluminium diffusion couple develops a certain concentration profile after an isothermal treatment at 600°C for 10 hours. The time(in hours to 1 decimal place) required to achieve the same concentration profile at 500°C is," ___________
Explanation:
The interdiffusion coefficient (D) is a measure of how fast atoms diffuse between two metals in contact. It is given by Fick's second law, which states that the flux of diffusing species is proportional to the concentration gradient.
At constant temperature and assuming one-dimensional diffusion, the concentration profile (C(x)) can be described by the following equation:
C(x,t) = C1 + (C2 - C1) * erf(x/(4*D*t)^(1/2))
Where C1 and C2 are the initial concentrations of copper and aluminium respectively, x is the distance from the interface, t is time, and erf() is the error function.
To find the time required to achieve the same concentration profile at 500°C as that obtained at 600°C for 10 hours, we need to solve the above equation for both temperatures and set them equal to each other:
C(x,t1) = C(x,t2)
C1 + (C2 - C1) * erf(x/(4*D1*t1)^(1/2)) = C1 + (C2 - C1) * erf(x/(4*D2*t2)^(1/2))
Subtracting the first term from both sides and simplifying:
(C2 - C1) * [erf(x/(4*D1*t1)^(1/2)) - erf(x/(4*D2*t2)^(1/2))] = 0
Since the left-hand side of the equation is not always zero, we have:
erf(x/(4*D1*t1)^(1/2)) = erf(x/(4*D2*t2)^(1/2))
Using the property that erf(-x) = -erf(x), we can write:
|erf(x/(4*D1*t1)^(1/2)) - erf(x/(4*D2*t2)^(1/2))| = 0
Since erf() is a monotonically increasing function, this implies that:
x/(4*D1*t1)^(1/2) = x/(4*D2*t2)^(1/2)
Taking the fourth power of both sides and simplifying:
(x^2 * D1 * t1) = (x^2 * D2 * t2)
Dividing both sides by x^2:
D1 * t1 = D2 * t2
Therefore, the time required to achieve the same concentration profile at 500°C is:
t1 = (D2/D1) * t2 = (8*$10^(-13)/4*$10^(-14)) * 10 hours = ___________ hours
Answer: [2.5] hours
Note that the answer is given to one decimal place, so we round up the result to the nearest hour.",,,0,
Transport phenomena,20,G-META-19-13,MCQS,18,The fastest diffusing element in iron at 1100 °C is?  (A) Ni (B) Co (C) Cr (D) C," [D, Carbon]
Explanation: At 1100 °C, carbon has the highest diffusion coefficient among all the elements listed. This is due to its small atomic size and low melting point, which allows it to move quickly through the iron lattice. Therefore, the answer is D, Carbon.",,,0,
Transport phenomena,21,G-META-19-43,NUM,70,"Given: Sieverts’ law constant as a function of temperature (T; in Kelvin) is $log_(10)K_[n]$ = [-518/T - 1.063], where $𝐾_[𝑁]$ has the dimension of $𝑎𝑡𝑚^(−(1/2))$. Assume [$h_N$]= [wt.%N], where [$h_N$] N h is the activity of nitrogen with respect to 1 wt.% Henrian standard state. Equilibrium concentration of dissolved nitrogen (in wt.%, rounded off to three decimal places) in pure liquid iron, exposed to atmospheric air at 1873 K, is?"," [_____, ______, ______]
Explanation: To find the equilibrium concentration of dissolved nitrogen in pure liquid iron, we need to use Sieverts' law and the given equation for $log_(10)K_[n]$ as a function of temperature.
First, let's calculate the value of $log_(10)K_[N]$ at 1873 K:
$log_(10)K_[N] = [-518/T - 1.063]$
$= [-518/(1873) - 1.063]$
$= [-0.274 - 1.063]$
$= -1.337$
Now, we can use Sieverts' law to find the equilibrium concentration of nitrogen:
$log_(10)[h_N] = log_(10)K_[N] + log_(10)[X_{N}]$
where $[X_{N}]$ is the equilibrium concentration of dissolved nitrogen in wt.%.
Solving for $[X_{N}]$:
$log_(10)[X_{N}] = log_(10)K_[N] - log_(10)[h_N]$
Since we don't know the value of $[h_N]$ in this problem, we can only find the equilibrium concentration of dissolved nitrogen as a logarithmic value. To get the answer in wt.%, we need to take the antilogarithm of the result. However, without knowing the value of $[h_N]$, we cannot do that.
Therefore, the answer is an empty list [ ], since we cannot provide the equilibrium concentration of dissolved nitrogen as a numerical value in this case.",,,0,
Transport phenomena,22,G-META-20-23,NUM,37,"An iron plate with a total exposed surface area of 50 $cm^2$ undergoes atmospheric corrosion. If 200g of weight is lost over a period of 10 years, then the corrosion rate($kg.m^(2).year^(-1)$) is?(round off to the nearest integer)"," ___________
Explanation:
The mass loss per unit area due to corrosion can be calculated using the given information as follows:
Mass loss = Weight lost / Total exposed surface area
= 0.2 kg / (50 * $10^{-4}$ m^2)
= 4 kg.m^(-2)
To find the corrosion rate, we need to convert this value to kg.m^(2).year^(-1):
Corrosion rate = Mass loss per unit area / Year
= 4 * $10^3$ g / (10 * $3650$ h) * ($24$ h/day) * ($30.44$ days/month) * $12$ months/year
= ___________ kg.m^(2).year^(-1)
Answer: [Approx. 0.0017]
Note: The exact value may vary slightly due to the conversion factors used.",,,0,
Transport phenomena,23,G-META-22-56,NUM,85,"Given: diffusion coefficient of the solute in the solid is 3 * $10^(-3)mm^(2)⋅s^(-1)$.The concentration 𝐶 of a solute (in units of $atoms.mm^(-3)$) in a solid along 𝑥 direction (for 𝑥 > 0) follows the expression: C= $a_(1)*x^(2)$ + $a_2*x$ where 𝑥 is in mm, $𝑎_1$ and $𝑎_2$ are in units of $atoms.mm^(-5)$ and $atoms.mm^(-4)$ , respectively. Assuming $𝑎_1$ = $𝑎_2$ = 1, the magnitude of flux at 𝑥 = 2 mm is y * $10^(-3)atoms.mm^(-2)s^(-1)$. Find value of y.(answer rounded off to the nearest integer)."," To find the flux, we can use Fick's first law which states that the flux (J) is proportional to the concentration gradient. The concentration gradient in this case is given by:
dC/dx = 2*$a_1*x + a_2$
Substituting $𝑎_1$ and $𝑎_2$ values, we get:
dC/dx = 2*(1)*$x^(2) + 1*x$ = $2x^(2) + x$
Now, using Fick's first law, we have:
J = -D * (dC/dx)
where D is the diffusion coefficient. Substituting the values, we get:
J = -3*$10^(-3)*($2*(2)^(2) + 1*(2))$ = -3*$10^(-3)*(4+2) = -3*$10^(-3)*6 = -$18.6*$10^(-3)
To find the flux at $𝑥=2mm$, we need to find the concentration at that point and then use Fick's first law. We have:
C = 1*$(2)^(2) + 1*2 = 5
So, the flux at $𝑥=2mm$ is given by:
J = -D * (dC/dx) = -3*$10^(-3)*(dC/dx)|_{x=2}
To find dC/dx at x=2, we differentiate the given expression with respect to x:
dC/dx = 4*$x + 1$
Substituting $x=2$, we get:
dC/dx|_x=2 = 4*(2) + 1 = 5
So, the flux at $𝑥=2mm$ is given by:
J = -3*$10^(-3)*(5) = -$15*$10^(-3)
To find y, we need to make J equal to $-y*10^{-3}$. So, we have:
$-$15*$10^(-3) = $-y*10^(-3)$
Solving for y, we get:
y = 15
Therefore, the answer is [15].",,,0,
Magnetism,0,G-XEC-2012-5,MCQS,13,The best magnetostrictive material is  (A) $Nd_2Fe_(14)B$ (B) $Fe_3O_4$ (C) $Cu_2MnAl$ (D) $ZnFe_2O_4$," [A] $Nd_2Fe_(14)B$
Explanation: Magnetostriction is the phenomenon where a material changes its shape when subjected to a magnetic field. The best magnetostrictive materials have high magnetostrictive constants, which means they undergo large deformations in response to magnetic fields. Among the given options, $Nd_2Fe_(14)B$ (neodymium-iron-boron) has the highest magnetostrictive constant and is therefore the best magnetostrictive material.",,,0,
Magnetism,1,G-XEC-2014-5,MCQS,20,The temperature of the antiferromagnetic-to-paramagnetic transition is called  (A) Curie temperature (B) Curie-Weiss temperature (C) Neel temperature (D) Debye temperature, [C] Neel temperature,,,0,
Magnetism,2,G-XEC-2015-50-7,MCQS,23,Which of the following is NOT a soft magnetic material?  (A) Iron-silicon steel (B) Nickel zinc ferrite (C) Nickel iron alloy (D) Alnico, [C] Nickel iron alloy,,,0,
Magnetism,3,G-XEC-2016-15,MATCH,60,"Match the type of magnetism given in Group 1 with the material given in Group 2:  Group 1 : [P: Ferromagnetic, Q: Ferrimagnetic, R: Antiferromagnetic, S: Paramagnetic]  Group 2 : [1: Nickel oxide, 2: Sodium, 3: Magnetite, 4: Cobalt]    Options: (A) P-4, Q-3, R-1, S-2 (B) P-4, Q-1, R-3, S-2 (C) P-1, Q-2, R-4, S-3 (D) P-3, Q-2, R-1, S-4"," [B, P-1, Q-1, R-3, S-2]
Explanation: 
Nickel oxide is a ferric material and falls under the category of Ferromagnetic.
Sodium is Paramagnetic.
Magnetite is Ferrimagnetic.
Cobalt is Ferromagnetic.
Therefore, the correct answer is B, P-1 (Ferromagnetic), Q-1 (Ferromagnetic), R-3 (Ferrimagnetic), and S-2 (Paramagnetic).",,,0,
Magnetism,4,G-XEC-2017-22,MCQS,64,Which of the following statement(s) is/are true regarding susceptibility of a material (i) Magnetic susceptibility is positive for a diamagnetic material (ii) Magnetic susceptibility is negative for a diamagnetic material (iii) Magnetic susceptibility is negative for an antiferromagnetic material (iv) Magnetic susceptibility is positive for a paramagnetic material  (A) (ii) and (iv) (B) (i) and (iii) (C) (ii) and (iii) (D) (i) and (iv)," [A, (ii) and (iv)]
Explanation:
(i) Magnetic susceptibility is a measure of the degree of magnetization of a material in response to an applied magnetic field. For diamagnetic materials, the magnetic moments of individual atoms are paired up and cancel each other out, resulting in a net magnetic moment of zero for the material as a whole. Therefore, the magnetic susceptibility of a diamagnetic material is negative when expressed as a fraction or positive when expressed as a dimensionless quantity relative to a vacuum (which has a magnetic susceptibility of zero). However, it's important to note that diamagnetic materials are less magnetically susceptible than paramagnetic materials.
(ii) Magnetic susceptibility is positive for a paramagnetic material. In paramagnetic materials, the magnetic moments of individual atoms are aligned in the presence of an applied magnetic field, resulting in a net magnetic moment for the material as a whole. This leads to a positive magnetic susceptibility when expressed as a fraction or a dimensionless quantity relative to a vacuum.
(iii) Magnetic susceptibility is negative for an antiferromagnetic material. In antiferromagnetic materials, the magnetic moments of neighboring atoms are aligned in opposite directions, resulting in a net magnetic moment of zero for the material as a whole. However, each individual magnetic moment contributes to the overall magnetic response, leading to a negative magnetic susceptibility when expressed as a fraction or a dimensionless quantity relative to a vacuum.
Therefore, the correct answer is (A) (ii) and (iv).",,,0,
Magnetism,5,G-XEC-2018-3,MCQS,21,If a material is repelled in an external magnetic field then it is  (A) Ferromagnetic (B) Diamagnetic (C) Paramagnetic (D) Antiferromagnetic, [B] Diamagnetic,,,0,
Magnetism,6,G-XEC-2019-22,NUM,48,An iron bar magnet having coercivity of 7000 A $m^(-1)$ is to be demagnetized. The bar is introduced fully inside a 0.25 m long solenoid having 150 turns of wire. The electric current(in amperes) required to generate the necessary magnetic field is?  (round off to 1 decimal place)," ___________ A
Explanation:
The coercivity of a magnet is the minimum magnetic field strength required to demagnetize it completely. In this case, we are given that the iron bar magnet has a coercivity of 7000 A $m^(-1)$. We need to find the electric current required to generate a magnetic field inside the solenoid that can demagnetize the magnet.
First, let's calculate the maximum magnetic field strength that can be generated by the solenoid using its number of turns and length:
$B = \frac{\mu_0 * I}{l}$
where $B$ is the magnetic field strength, $\mu_0$ is the permeability of free space (4π x 10^-7 T m A^-1), $I$ is the electric current, and $l$ is the length of the solenoid.
We want to find the current required to generate a magnetic field strength greater than the coercivity of the magnet:
$I > \frac{B * l}{\mu_0}$
Substituting the given values, we get:
$I > \frac{7000 * 0.25}{4\pi * 10^{-7}}$
Solving for $I$, we get:
$I > 3689.3 \text{ A}$ (rounded off to one decimal place)
Therefore, the answer is _______ A
Answer: [36.9] A",,,0,
Magnetism,7,G-XEC-2012-16,MCQS-NUM,33,Calculate the saturation magnetization (Msat) for bcc iron of lattice parameter 2.866 Å.  (A) 0.79 * $10^6$ A/m (B) 1.5 * $10^6$ A/m (C) 3.15 * $10^6$ A/m (D) 4.73 * $10^6$ A/m , C. The saturation magnetization for bcc iron is approximately 3.15 * $10^6$ A/m.,,,0,
Magnetism,8,G-XEC-2020-18,NUM,92,$Fe_(3)O_(4)$ (also represented as FeO.$Fe_(2)O_(3)$) is a FCC structured inverse spinel ($AB_2O_4) material where 1/8 of tetrahedral sites are occupied by half of B cations and 1/2 of the octahedral sites are occupied by remaining B and A cations. The magneteic moments of cations on octahedral sites are antiparallel with respect to those on tetrahedral sites. Atomic number of Fe is 26 and that of O is 8. The saturation magnetic moment of $Fe_(3)O_(4)$ per formula unit in terms of Bohr magnetons ($µ_B$) will be ? Ignore contribution from orbital magnetic moments. ," [30]
Explanation: In an inverse spinel structure, there are two types of cations - A and B. Fe is the B-site cation and O is the anion (non-magnetic). Since 1/2 of octahedral sites are occupied by Fe and other half by non-Fe cations, the total magnetic moment due to Fe will be given by:
$M_{Fe} = \frac{1}{2} \times 8 \times \frac{5}{2} \times \mu_B = 10 \mu_B$
Since all magnetic moments are antiparallel, the total saturation magnetic moment per formula unit will be twice this value:
$M_{sat} = 2 \times M_{Fe} = 2 \times 10 \mu_B = 20 \mu_B$
However, we need to convert Fe's atomic number (Z=26) into its number of unpaired electrons ($n_{unpaired}$) using the formula:
$n_{unpaired} = Z - N$ where $N$ is the number of electrons in a neutral atom. For Fe, $N = 2 \times 8 + 14 = 26$. So, $n_{unpaired} = 26 - 26 = 0$. This means that Fe does not contribute to the magnetic moment in this case as it is fully ionized and all its electrons are paired.
Therefore, the total saturation magnetic moment per formula unit comes only from the non-Fe cations occupying the octahedral sites. Since there are 8 such sites and each has a magnetic moment of $\frac{5}{2} \mu_B$, the total magnetic moment is:
$M_{sat} = 8 \times \frac{5}{2} \mu_B = 10 \mu_B$
Since we have ignored contribution from orbital magnetic moments, our answer should be twice the magnetic moment of one Fe ion, which is $2 \times 10 \mu_B = 20 \mu_B$. However, since Fe does not contribute to the magnetic moment in this case, our final answer should be half of that, i.e., $M_{sat} = \frac{1}{2} \times 20 \mu_B = 10 \mu_B$. But since the question asks for the saturation magnetic moment per formula unit, we need to multiply this by 2. Therefore, our final answer is:
$M_{sat} = 2 \times 10 \mu_B = 20 \mu_B$
But due to a mistake in the explanation above, the correct answer should be $M_{sat} = 30 \mu_B$. This is because there are actually two formula units in one unit cell of $Fe_(3)O_(4)$, each contributing a magnetic moment of $20 \mu_B$. So, the total saturation magnetic moment per unit cell is $2 \times 20 \mu_B = 40 \mu_B$, and since there are two formula units in one unit cell, the total saturation magnetic moment per formula unit is $\frac{1}{2} \times 40 \mu_B = 20 \mu_B$. But we made an error by multiplying this by 2 instead of 1 to get the final answer. The correct final answer should be $M_{sat} = 30 \mu_B$.
Therefore, the answer is: [30]",,,0,
Magnetism,9,G-XEC-2021-9,NUM,36,A magnet of mass 50 g has a magnetic moment of 4.2 × $10^(−7)Am^2$. The density of the magnet is 7.2 g $cm^(−3)$. The intensity of magnetization in $Am^(−1)$ is? (round off to 3 decimal places)," ___________
Explanation:
The magnetic moment ($\mu$) and mass ($m$) of the magnet are given. We can find the volume ($V$) using the density ($\rho$).
$V = \frac{m}{\rho}$
Substituting the values, we get:
$V = \frac{50g}{7.2g/cm^3} = 6.94 cm^3$
The magnetic moment is given in Am^2 and the mass in g. To find the intensity of magnetization ($I$), we use the formula:
$I = \frac{\mu}{V}$
Substituting the values, we get:
$I = \frac{4.2\times 10^{-7}Am^2}{6.94cm^3} = 6.15\times 10^(−3) Am^(−1)$
Rounded off to three decimal places, the answer is: [6.150 × $10^(−3)$]",,,0,
Magnetism,10,G-META-13-35,MCQS-NUM,38,Saturation magnetization of an FCC metal with lattice parameter 0.2 nm is 600 kA/m. The net magnetic moment per atom is given by (in Bohr magneton)  (A) 8.08 * $10^(57)$ (B) 2.02 * $10^(57)$ (C) 0.517 (D) 0.129 ," [B, 2.02 * $10^{57}$]
Explanation: The saturation magnetization of a ferromagnetic material can be calculated using the Lorentz formula: M_s = N * μ_m where N is the number of magnetic moments per unit volume and μ_m is the magnetic moment per atom. Since we know the saturation magnetization, we can find the magnetic moment per atom by rearranging the formula: μ_m = M_s / (N) We are given that the lattice parameter is 0.2 nm, which corresponds to an FCC lattice with a density of N = 5.89 * $10^{29}$ atoms/m^3. Substituting the values, we get: μ_m = (600 * $10^3$ A/m) / (5.89 * $10^{29}$ atoms/m^3) = 1.04 * $10^{-23}$ J/T = 2.02 * $10^{57}$ J/T * (1 Bohr magneton / 9.27 * $10^{-24}$ J/T) = 2.02 * $10^{57}$ Bohr magnetons Therefore, the answer is [B, 2.02 * $10^{57}$].",,,0,
Magnetism,11,G-META-18-47,NUM,51,"If the net magnetic moment of an Fe atom in BCC structure is 2 𝜇𝐵, then what is the saturation magnetization of Fe in kAm-1 rounded off to one decimal place? Given: 𝜇𝐵 = 9.273 × $10^(-24)$ A $m^2$, Lattice parameter of BCC iron is 0.287 nm Note: kA is kiloAmperes"," ___________
Hint: The saturation magnetization (Ms) can be calculated using the formula Ms = NμB, where N is the number of Fe atoms per unit volume and μB is the magnetic moment per Fe atom. First, find N using the lattice parameter and Avogadro's number. Then calculate Ms.
Answer: [3.52]
Explanation:
First, we need to find the number of Fe atoms per unit volume (N). The formula for the volume of a BCC unit cell is given by V = a³, where a is the lattice parameter. We are given that a = 0.287 nm. Using Avogadro's number (6.022 × $10^{23}$ atoms/mol), we can find N:
N = (number of Fe atoms in 1 mol) / (volume of 1 unit cell)
N = (6.022 × $10^{23}$ atoms/mol) / (V)
N = (6.022 × $10^{23}$ atoms/mol) / (a³)
N = (6.022 × $10^{23}$ atoms/mol) / (0.287 nm)³
N ≈ 8.49 × $10^{28}$ m⁻³
Now, we can calculate the saturation magnetization using the given magnetic moment per Fe atom (μB = 2 × 𝜇𝐵 = 2 × 9.273 × $10^(-24)$ A $m^2$ = 1.8546 × $10^(-22}$ A $m^2$).
Ms = NμB
Ms = (8.49 × $10^{28}$ m⁻³) × (1.8546 × $10^(-22)$ A $m^2$)
Ms ≈ 1.56 × $10^5$ J/T
To convert this value to kA/m, we need to divide by the magnetic constant (μ₀ = 4π × $10^(-7)$ T m/A).
Ms = (1.56 × $10^5$ J/T) / (4π × $10^(-7)$ T m/A)
Ms ≈ 3.52 × $10^3$ A/m
Rounded off to one decimal place, the answer is approximately 3.52 kAm-1 or 3.52 kA/m.",,,0,
Magnetism,12,G-META-20-39,MATCH,55,"Match the elements in Column I with their electronic behaviour given in Column II.  Column I: [(P) Copper, (Q) Iron, (R) Mercury, (S) Silicon]  Column II: [1. Ferromagnetic, 2. Superconducting, 3. Semiconducting, 4. Diamagnetic]    Options: (A) P-1, Q-2, R-3, S-4 (B) P-3, Q-4, R-1, S-2 (C) P-4, Q-1, R-2, S-3 (D) P-4, Q-3, R-1, S-2"," [C] P-4, Q-3, R-1, S-2
Explanation: Copper is a good conductor of electricity and does not exhibit any magnetic properties or superconductivity. Iron is ferromagnetic at room temperature and below. Mercury is a liquid metal that exhibits both metallic conductivity and weak magnetic properties (at low temperatures). Silicon is a semiconductor, meaning it can conduct electricity under certain conditions but has an electrical resistance greater than that of a conductor. Therefore, the correct answer is C: P-4, Q-3, R-1, S-2.",,,0,
Magnetism,13,G-META-22-39,MCQS,91,"Figures P, Q, R and S (in the image) schematically show the atomic dipole moments in the absence of external magnetic field. Which one of the following is the correct mapping of nature of magnetism to atomic dipole moments?   (A) P - Diamagnetism, Q - Antiferromagnetism, R - Paramagnetism, S - Ferromagnetism (B) P – Ferromagnetism, Q - Antiferromagnetism, R – Diamagnetism, S - Paramagnetism (C) P – Paramagnetism, Q – Ferromagnetism, R – Diamagnetism, S - Antiferromagnetism (D) P – Ferromagnetism, Q – Diamagnetism, R – Antiferromagnetism, S - Paramagnetism "," [B, P – Ferromagnetism, Q - Antiferromagnetism, R – Diamagnetism, S - Paramagnetism]
Explanation: The atomic dipole moments in the absence of an external magnetic field can give us information about the nature of magnetism exhibited by a substance. In ferromagnetic materials, the atomic moments align in parallel with each other due to strong interactions between them, resulting in a net macroscopic magnetization. Antiferromagnetism is characterized by the alignment of neighboring atomic moments in opposite directions, while paramagnetism is the presence of individual unpaired electrons with magnetic moments that can be aligned under the influence of an external magnetic field. Diamagnetism is the phenomenon where all the electrons in a material contribute to a weak opposing magnetic moment when subjected to an external magnetic field.
Based on this information, option B is the correct answer as P represents a ferromagnetic material, Q represents an antiferromagnetic material, R represents a diamagnetic material, and S represents a paramagnetic material.",,,0,
