qids;qstr;correct_result;filtered_result;overlap;topic
G-META-13-46;NUM;7.9 TO 8.3;1,6;0;Thermodynamics
G-XEC-2015-49-6;MCQS;C;C;1;Material Manufacturing
G-XEC-2015-50-7;MCQS;D;D;1;Magnetic Properties
G-XEC-2015-51-8;MCQS;B;D;0;Phase Transition
G-XEC-2015-52-9;MCQS;B;B;1;Atomic Structure
G-XEC-2015-53-10;MATCH;C;C;1;Material Characterization
G-META-13-47;NUM;2626 TO 2632;80,47;0;Thermodynamics
G-META-14-17;NUM;350 T0 350;50;0;Electrical Properties
G-META-14-26;NUM;26.3 TO 26.5;10,6;0;Material Applications
G-XEC-2015-60-17;MATCH;B;A;0;Material Applications
G-XEC-2015-61-18;MCQS;D;D;1;Mechanical Properties
G-XEC-2015-62-19;MCQS-NUM;B;D;0;Atomic Structure
G-META-14-29;NUM;0.46 TO 0.49;1,296;0;Transport Phenomena
G-META-14-33;NUM;951 TO 953;38,4;0;Atomic Structure
G-META-14-34;NUM;2.8 TO 2.9;282 mV;0;Thermodynamics
G-XEC-2016-1;MCQS;C;C;1;Material Characterization
G-XEC-2016-2;MCQS;C;C;1;Atomic Structure
G-META-14-8;MCQS;B;B;1;Thermodynamics
G-META-15-16;MCQS;A;A;1;Thermodynamics
G-XEC-2016-7;MCQS;B;B;1;Electrical Properties
G-META-14-37;NUM;2;2;1;Phase Transition
G-XEC-2016-9;MCQS;B;B;1;Material Applications
G-XEC-2016-10;MATCH;B;B;1;Material Manufacturing
G-META-14-38;NUM;300;600;0;Atomic Structure
G-META-14-40;NUM;4.2 TO 4.3;4,5;0;Mechanical Properties
G-META-15-31;MCQS;D;D;1;Thermodynamics
G-META-14-41;NUM;0,2;0,2;1;Electrical Properties
G-XEC-2016-15;MATCH;A;B;0;Magnetic Properties
G-META-14-48;NUM;2.30 TO 2.38;2,341;1;Material Manufacturing
G-XEC-2016-20;MATCH;A;A;1;Phase Transition
G-META-14-49;NUM;35 TO 36;6,342;0;Thermodynamics
G-META-14-53;NUM;22380 TO 22480;61300;0;Atomic Structure
G-XEC-2017-1;MCQS;B;B;1;Atomic Structure
G-XEC-2017-2;MCQS;D;D;1;Material Applications
G-XEC-2017-3;MCQS;C;C;1;Atomic Structure
G-XEC-2017-4;MCQS;B;B;1;Atomic Structure
G-XEC-2017-5;MCQS;A;A;1;Material Characterization
G-XEC-2017-6;MCQS;C;C;1;Mechanical Properties
G-XEC-2017-7;MCQS;D;D;1;Atomic Structure
G-XEC-2017-9;MCQS;D;C;0;Electrical Properties
G-META-14-55;NUM;30.0 TO 30.5;44,6;0;Material Applications
G-META-14-9;NUM;19.95 TO 20.05;6;0;Mechanical Properties
G-XEC-2017-12;MATCH;A;D;0;Material Applications
G-XEC-2017-13;MATCH;A;A;1;Material Processing
G-XEC-2017-16;MCQS;B;B;1;Miscellaneous
G-META-15-22;NUM;490 TO 510;80;0;Electrical Properties
G-XEC-2017-21;MCQS-NUM;C;C;1;Atomic Structure
G-XEC-2017-22;MCQS;A;D;0;Magnetic Properties
G-XEC-2018-1;MCQS;C;C;1;Mechanical Properties
G-XEC-2018-2;MCQS;A;D;0;Atomic Structure
G-XEC-2018-3;MCQS;B;B;1;Magnetic Properties
G-META-15-32;NUM;2.1 TO 2.3;3,46;0;Thermodynamics
G-XEC-2018-5;MCQS;A;B;0;Atomic Structure
G-XEC-2018-6;MCQS-NUM;D;D;1;Atomic Structure
G-XEC-2018-10;MATCH;B;B;1;Phase Transition
G-XEC-2018-11;MCQS-NUM;A;A;1;Electrical Properties
G-XEC-2018-12;MCQS-NUM;B;A;0;Electrical Properties
G-META-15-33;NUM;1400 TO 1450;1422,56;1;Mechanical Properties
G-META-15-37;NUM;29.5 TO 30.0;742,3;0;Material Applications
G-META-15-38;NUM;0,5;;0;Thermodynamics
G-META-15-39;NUM; -1600 TO -1500;;0;Thermodynamics
G-XEC-2019-1;MCQS;B;B;1;Miscellaneous
G-XEC-2019-3;MCQS;A;D;0;Atomic Structure
G-XEC-2019-4;MCQS;A;A;1;Mechanical Properties
G-XEC-2019-5;MCQS-NUM;B;B;1;Transport Phenomena
G-XEC-2019-6;MCQS-NUM;B;;0;Material Manufacturing
G-META-15-5;MCQS;B;C;0;Thermodynamics
G-XEC-2019-8;MCQS;D;D;1;Material Characterization
G-META-15-41;NUM;1;100000;0;Thermodynamics
G-XEC-2019-10;MCQS;B;B;1;Atomic Structure
G-XEC-2019-11;MATCH;B;C;0;Material Manufacturing
G-XEC-2019-12;MCQS;B;B;1;Material Manufacturing
G-META-16-4;MCQS;A;A;1;Thermodynamics
G-META-15-45;NUM;0.9 TO 1.1;1;1;Thermodynamics
G-META-15-47;NUM;0.39 TO 0.41;0,114;0;Magnetic Properties
G-XEC-2020-1;MCQS-NUM;C;A;0;Phase Transition
G-XEC-2020-2;MCQS;B;B;1;Miscellaneous
G-XEC-2020-4;MCQS;A;A;1;Atomic Structure
G-META-16-42;MCQS;A;A;1;Thermodynamics
G-META-16-54;MCQS-NUM;C;A;0;Thermodynamics
G-XEC-2020-10;MCQS;B;C;0;Material Manufacturing
G-XEC-2020-11;MATCH;C;C;1;Material Manufacturing
G-META-15-49;NUM;10;B;0;Material Manufacturing
G-XEC-2021-1;MCQS;C;C;1;Phase Transition
G-XEC-2021-2;MCQS;C;C;1;Material Applications
G-XEC-2021-3;MCQS;D;A;0;Atomic Structure
G-XEC-2021-4;MCQS;C;C;1;Electrical Properties
G-XEC-2021-5;MATCH;C;C;1;Phase Transition
G-XEC-2021-6;MCQS;B;B;1;Material Characterization
G-META-16-6;MCQS;D;D;1;Thermodynamics
G-META-15-53;NUM;3;4,62;0;Thermodynamics
G-XEC-2021-10;MATCH;B;C;0;Material Characterization
G-XEC-2021-11;MATCH;C;C;1;Material Processing
G-XEC-2021-13;MCQS;"A; B";A,B;1;Atomic Structure
G-META-15-55;NUM;100;100;1;Phase Transition
G-META-16-12;NUM;0.045 TO 0.06;0,126;0;Material Manufacturing
G-XEC-2022-1;MCQS;B;;0;Atomic Structure
G-XEC-2022-2;MATCH;C;B;0;Atomic Structure
G-XEC-2022-3;MCQS;C;C;1;Mechanical Properties
G-XEC-2022-5;MCQS;C;C;1;Material Characterization
G-XEC-2022-6;MCQS;D;D;1;Material Applications
G-META-16-16;NUM;54.0 TO 55.5;35,26;0;Electrical Properties
G-XEC-2022-10;MCQS;C;A;0;Phase Transition
G-META-16-24;NUM;25.5 TO 26.5;26;1;Thermodynamics
G-XEC-2022-14;MCQS;C;C;1;Mechanical Properties
G-XEC-2022-16;MCQS;A,C;A;0;Phase Transition
G-META-16-25;NUM;0.9 TO 1.1;5000;0;Phase Transition
G-META-16-32;NUM;-168.7 TO -168.1;-22,7;0;Atomic Structure
G-META-12-6;MCQS;A;A;1;Material Applications
G-META-12-7;MCQS-NUM;B;D;0;Fluid Mechanics
G-META-12-8;MCQS;D;D;1;Material Manufacturing
G-META-12-9;MCQS;A;A;1;Atomic Structure
G-META-12-10;MCQS;A;A;1;Material Manufacturing
G-META-12-11;MCQS;B;B;1;Material Applications
G-META-12-12;MCQS;C;C;1;Material Manufacturing
G-META-12-13;MCQS;D;B;0;Material Manufacturing
G-META-16-35;NUM;31.0 TO 32.0;342 kg/s;0;Thermodynamics
G-META-12-15;MCQS-NUM;B;B;1;Atomic Structure
G-META-12-16;MCQS;B;B;1;Atomic Structure
G-META-12-17;MCQS;C;A;0;Electrical Properties
G-META-16-37;NUM;10.0 TO 10.5;8;0;Thermodynamics
G-META-16-38;NUM;2.0 TO 2.5;1,565;0;Thermodynamics
G-META-12-20;MCQS;A;A;1;Atomic Structure
G-META-12-21;MCQS;C;A;0;Mechanical Properties
G-META-12-24;MCQS;C;B;0;Material Manufacturing
G-META-12-25;MCQS;D;D;1;Atomic Structure
G-META-12-31;MATCH;A;A;1;Transport Phenomena
G-META-12-32;MCQS;C;C;1;Electrical Properties
G-META-17-55;MCQS-NUM;C;C;1;Thermodynamics
G-META-12-34;MATCH;D;C;0;Material Processing
G-META-18-11;MCQS;D;C;0;Thermodynamics
G-META-12-36;MCQS-NUM;B;D;0;Material Manufacturing
G-META-12-39;MATCH;C;C;1;Phase Transition
G-META-12-40;MCQS;A;A;1;Material Manufacturing
G-META-12-41;MCQS;D;B;0;Material Processing
G-META-12-43;MATCH;C;B;0;Mechanical Properties
G-META-12-44;MCQS-NUM;C;C;1;Mechanical Properties
G-META-12-45;MCQS-NUM;B;B;1;Mechanical Properties
G-META-12-46;MCQS;C;C;1;Material Processing
G-META-12-47;MATCH;C;B;0;Material Processing
G-META-12-49;MCQS-NUM;B;C;0;Fluid Mechanics
G-META-12-52;MCQS-NUM;A;B;0;Atomic Structure
G-META-12-53;MCQS-NUM;B;A;0;Mechanical Properties
G-META-18-2;MCQS;A;A;1;Thermodynamics
G-META-13-5;MCQS;A;C;0;Atomic Structure
G-META-13-6;MCQS;C;C;1;Material Processing
G-META-13-7;MCQS;A;C;0;Atomic Structure
G-META-13-8;MCQS;B;A;0;Phase Transition
G-META-13-9;MCQS;A;A;1;Mechanical Properties
G-META-13-10;MCQS;B;B;1;Material Processing
G-META-13-11;MCQS;D;C;0;Phase Transition
G-META-18-26;MCQS-NUM;A;D;0;Thermodynamics
G-META-13-14;MCQS;B;B;1;Transport Phenomena
G-META-13-16;MCQS;B;B;1;Material Manufacturing
G-META-13-17;MCQS;C;B;0;Material Manufacturing
G-META-13-18;MCQS;B;B;1;Material Manufacturing
G-META-13-20;MCQS;C;B;0;Material Manufacturing
G-META-16-39;NUM;97.5 TO 98.3;79,1;0;Atomic Structure
G-META-18-39;MCQS-NUM;B;A;0;Thermodynamics
G-META-16-40;NUM;11.6 TO 11.8;9,8;0;Material Processing
G-META-13-29;MCQS-NUM;C;C;1;Atomic Structure
G-META-13-30;MCQS-NUM;D;B;0;Atomic Structure
G-META-13-31;MCQS-NUM;A;B;0;Material Manufacturing
G-META-13-32;MATCH;C;C;1;Material Manufacturing
G-META-13-33;MCQS-NUM;B;B;1;Mechanical Properties
G-META-13-35;MCQS-NUM;D;B;0;Magnetic Properties
G-META-13-37;MATCH;D;B;0;Atomic Structure
G-META-13-38;MATCH;A;C;0;Material Applications
G-META-13-39;MATCH;D;B;0;Material Characterization
G-META-13-40;MCQS-NUM;C;C;1;Electrical Properties
G-META-13-41;MATCH;A;C;0;Material Manufacturing
G-META-13-42;MCQS;C;C;1;Material Manufacturing
G-META-16-48;NUM;115 TO 125;24,3;0;Material Applications
G-META-16-49;NUM;14.0 TO 15.5;40,904;0;Thermodynamics
G-META-16-50;NUM;1.3 TO 1.5;0,86;0;Thermodynamics
G-META-13-54;MCQS-NUM;B;B;1;Atomic Structure
G-META-13-55;MCQS-NUM;C;B;0;Atomic Structure
G-META-14-2;MCQS;D;D;1;Mechanical Properties
G-META-14-4;MCQS;C;B;0;Atomic Structure
G-META-14-5;MCQS;C;C;1;Material Applications
G-META-14-7;MCQS;A;A;1;Atomic Structure
G-META-16-52;NUM;1.7 TO 1.9;;0;Thermodynamics
G-META-17-10;NUM;13.30 TO 15.50;-12,82;0;Mechanical Properties
G-META-14-11;MCQS;C;C;1;Electrical Properties
G-META-14-12;MCQS;C;C;1;Material Applications
G-META-14-13;MCQS;B;B;1;Miscellaneous
G-META-14-14;MCQS;A;D;0;Material Testing
G-META-14-15;MCQS;A;A;1;Material Applications
G-META-14-16;MCQS;C;C;1;Material Manufacturing
G-META-17-11;NUM;0.030 TO 0.034;0,141;0;Mechanical Properties
G-META-14-18;MCQS;A;C;0;Material Processing
G-META-14-19;MCQS;A;A;1;Mechanical Properties
G-META-14-20;MCQS;C;C;1;Phase Transition
G-META-14-22;MCQS;A;A;1;Material Processing
G-META-14-23;MCQS;B;B;1;Material Manufacturing
G-META-14-25;MCQS;C;C;1;Material Characterization
G-META-17-12;NUM;0.36 TO 0.44;0,553;0;Material Processing
G-META-14-27;MCQS-NUM;C;C;1;Mechanical Properties
G-META-17-13;NUM;4;;0;Thermodynamics
G-META-14-30;MCQS;B;B;1;Phase Transition
G-META-14-32;MATCH;C;B;0;Transport Phenomena
G-META-17-16;NUM;95.00 TO 125.00;896,28;0;Thermodynamics
G-META-14-35;MATCH;D;A;0;Material Applications
G-META-17-19;NUM;24.00 TO 26.00;22,09;0;Transport Phenomena
G-META-17-20;NUM;0.006 TO 0.010;-0,02;0;Mechanical Properties
G-META-14-39;MCQS;D;D;1;Material Manufacturing
G-META-17-22;NUM;1.20 TO 1.40;0,046;0;Material Manufacturing
G-META-17-32;NUM;130.00 TO 135.00;6,39;0;Mechanical Properties
G-META-14-42;MATCH;C;C;1;Material Processing
G-META-14-43;MATCH;B;B;1;Material Manufacturing
G-META-14-46;MCQS;C;C;1;Material Processing
G-META-14-47;MATCH;B;A;0;Atomic Structure
G-META-17-34;NUM;0.170 TO 0.175;0,086;0;Atomic Structure
G-META-14-50;MCQS;C;A;0;Phase Transition
G-META-14-51;MCQS;C;D;0;Material Manufacturing
G-META-17-35;NUM;1;1;1;Mechanical Properties
G-META-15-4;MCQS;C;B,C;0;Material Applications
G-META-17-37;NUM;0.0010 TO 0.0050;0,0044;0;Thermodynamics
G-META-15-7;MCQS;C;B;0;Material Manufacturing
G-META-15-8;MCQS;A;A;1;Material Manufacturing
G-META-15-9;MCQS;A;A;1;Material Applications
G-META-15-10;MCQS;D;D;1;Transport Phenomena
G-META-15-13;MCQS;D;C;0;Electrical Properties
G-META-15-14;MCQS;B;C;0;Atomic Structure
G-META-15-15;MCQS;D;B;0;Atomic Structure
G-META-19-12;MCQS;C;A;0;Thermodynamics
G-META-15-17;MCQS;C;C;1;Material Processing
G-META-15-18;MCQS;B;C;0;Atomic Structure
G-META-15-19;MCQS;B;B;1;Material Manufacturing
G-META-15-20;MCQS;C;C;1;Material Manufacturing
G-META-15-21;MCQS;D;D;1;Material Processing
G-META-17-38;NUM;6650.00 TO 6750.00;13135;0;Mechanical Properties
G-META-15-24;MCQS;C;B;0;Material Applications
G-META-15-25;MCQS;B;;0;Material Applications
G-META-19-35;MCQS-NUM;D;B;0;Thermodynamics
G-META-17-39;NUM;1.80 TO 2.20;1;0;Material Manufacturing
G-META-15-35;MATCH;B;A;0;Material Manufacturing
G-META-17-40;NUM;11470.00 TO 11580.00;6106,9;0;Thermodynamics
G-META-15-40;MATCH;C;C;1;Phase Transition
G-META-17-42;NUM;0.92 TO 0.96;0,94;1;Transport Phenomena
G-META-15-42;MATCH;A;A;1;Material Applications
G-META-17-43;NUM;2.50 TO 2.60;66,4;0;Mechanical Properties
G-META-15-46;MCQS;B;A;0;Material Processing
G-META-15-48;MATCH;B;B;1;Material Applications
G-META-17-48;NUM;0.009 TO 0.015;0,422;0;Mechanical Properties
G-META-15-50;MCQS;D;A;0;Material Testing
G-META-15-51;MATCH;C;B;0;Mechanical Properties
G-META-15-52;MATCH;C;B;0;Material Applications
G-META-17-49;NUM;96.00 TO 98.00;97,7;1;Atomic Structure
G-META-15-54;MATCH;C;C;1;Material Applications
G-META-17-52;NUM;0.110 TO 0.140;0,151;0;Mechanical Properties
G-META-17-53;NUM;11.00 TO 12.50;;0;Thermodynamics
G-META-16-5;MCQS;B;A;0;Phase Transition
G-META-17-54;NUM;6.60 TO 7.40;250;0;Thermodynamics
G-META-16-7;MCQS;A;A;1;Material Applications
G-META-16-9;MATCH;B;B;1;Material Manufacturing
G-META-16-10;MCQS;A;B;0;Material Manufacturing
G-META-16-11;MCQS;D;D;1;Material Applications
G-META-16-13;MCQS-NUM;B;B;1;Atomic Structure
G-META-17-7;NUM;4900 TO 4940;1477;0;Atomic Structure
G-META-16-18;MCQS;B;B;1;Atomic Structure
G-META-16-19;MCQS;A;C;0;Mechanical Properties
G-META-16-20;MCQS;D;C;0;Material Manufacturing
G-META-16-21;MCQS;B;A;0;Material Processing
G-META-16-22;MCQS;D;B;0;Material Manufacturing
G-META-16-23;MCQS;D;B;0;Material Testing
G-META-18-24;NUM;0.9 TO 1.1;17,6;0;Material Processing
G-META-18-25;NUM;180 TO 220;166,7;0;Fluid Mechanics
G-META-16-36;MATCH;A;A;1;Fluid Mechanics
G-META-18-41;NUM;0.96 TO 0.98;0,96;1;Material Manufacturing
G-META-18-42;NUM;-5.5 TO -4.5;108,3;0;Material Manufacturing
G-META-18-44;NUM;1.9 TO 2.0;8,04;0;Material Manufacturing
G-META-20-10;MCQS;C;C;1;Thermodynamics
G-META-18-45;NUM;0.9 TO 1.0;9,8;0;Atomic Structure
G-META-16-51;MCQS-NUM;A;C;0;Mechanical Properties
G-META-20-11;MCQS-NUM;C;A;0;Thermodynamics
G-META-16-55;MATCH;C;A;0;Mechanical Properties
G-META-17-5;MCQS-NUM;D;D;1;Electrical Properties
G-META-17-6;MCQS;A;A;1;Transport Phenomena
G-META-18-46;NUM;4.5 TO 4.8;2,37;0;Transport Phenomena
G-META-17-9;MCQS;B;B;1;Phase Transition
G-META-18-47;NUM;1500 TO 1600;1,7;0;Atomic Structure
G-META-18-48;NUM;24.9 TO 29.0;-9,1;0;Phase Transition
G-META-18-49;NUM;14.9 TO 15.1;7,2;0;Atomic Structure
G-META-17-14;MCQS;A;A;1;Material Applications
G-META-17-17;MCQS;C;C;1;Material Applications
G-META-17-18;MCQS;A;A;1;Mechanical Properties
G-META-18-50;NUM;0.74 TO 0.78;0,79;0;Mechanical Properties
G-META-17-24;MCQS;D;D;1;Material Applications
G-META-17-25;MCQS;D;D;1;Material Testing
G-META-20-36;MCQS-NUM;C;B;0;Thermodynamics
G-META-17-36;MATCH;A;A;1;Material Applications
G-META-18-51;NUM;427 TO 432;790,3;0;Material Manufacturing
G-META-20-37;MCQS;B;A;0;Thermodynamics
G-META-18-52;NUM;0.225 TO 0.235;0,091;0;Miscellaneous
G-META-21-11;MCQS;B;B;1;Thermodynamics
G-META-18-53;NUM;0.450 TO 0.480;0,646;0;Thermodynamics
G-META-17-45;MATCH;D;A;0;Atomic Structure
G-META-17-47;MCQS-NUM;B;B;1;Electrical Properties
G-META-18-55;NUM;555.5 TO 565.5;2513,3;0;Phase Transition
G-META-17-51;MCQS;B;C;0;Atomic Structure
G-META-19-24;NUM;0.153 TO 0.155;0,154;1;Mechanical Properties
G-META-21-29;MCQS;C;C;1;Thermodynamics
G-META-18-1;MCQS;A;A;1;Fluid Mechanics
G-META-21-30;MCQS;B;B;1;Thermodynamics
G-META-18-3;MCQS;A;A;1;Fluid Mechanics
G-META-18-4;MCQS;A;A;1;Material Manufacturing
G-META-18-5;MCQS;D;D;1;Material Manufacturing
G-META-18-6;MCQS-NUM;D;D;1;Material Manufacturing
G-META-18-8;MCQS;B;B;1;Material Applications
G-META-18-9;MCQS;D;D;1;Transport Phenomena
G-META-18-10;MCQS-NUM;C;A;0;Atomic Structure
G-META-19-25;NUM;16.0 TO 17.4;5,8;0;Thermodynamics
G-META-18-13;MCQS-NUM;D;C;0;Electrical Properties
G-META-18-14;MCQS;D;D;1;Material Manufacturing
G-META-18-15;MCQS;B;B;1;Material Processing
G-META-18-16;MCQS;B;B;1;Material Processing
G-META-18-17;MCQS;C;D;0;Material Processing
G-META-18-18;MCQS;B;D;0;Phase Transition
G-META-18-19;MCQS;C;C;1;Material Testing
G-META-18-20;MCQS;B;B;1;Phase Transition
G-META-19-36;NUM;2.90 TO 3.10;8;0;Transport Phenomena
G-META-19-40;NUM;0.04 TO 0.06;0,07;0;Thermodynamics
G-META-18-27;MCQS;B;A;0;Atomic Structure
G-META-18-29;MCQS;C;C;1;Mechanical Properties
G-META-18-32;MATCH;C;C;1;Material Manufacturing
G-META-18-34;MCQS-NUM;A;C;0;Electrical Properties
G-META-19-42;NUM;0.11 TO 0.13;-2,50E-08;0;Thermodynamics
G-META-19-43;NUM;0.039 TO 0.042;0,042;1;Mechanical Properties
G-META-19-44;NUM;2347 TO 2357;0;0;Magnetic Properties
G-META-21-6;MCQS;D;B;0;Thermodynamics
G-META-22-12;MCQS;B;A;0;Thermodynamics
G-META-19-45;NUM;1927 TO 1937;130300;0;Atomic Structure
G-META-19-5;MCQS-NUM;C;C;1;Phase Transition
G-META-19-7;MCQS;B;A;0;Fluid Mechanics
G-META-19-8;MCQS;B;B;1;Electrical Properties
G-META-19-9;MCQS;A;A;1;Material Manufacturing
G-META-19-10;MCQS;D;D;1;Material Manufacturing
G-META-22-43;MCQS;C,D;B,C;0;Thermodynamics
G-META-19-13;MCQS;D;A;0;Transport Phenomena
G-META-19-14;MCQS;C;C;1;Atomic Structure
G-META-19-15;MCQS;A;A;1;Phase Transition
G-META-19-16;MCQS;B;B;1;Mechanical Properties
G-META-19-17;MCQS;C;B;0;Mechanical Properties
G-META-19-18;MCQS;B;B;1;Mechanical Properties
G-META-19-19;MCQS-NUM;C;D;0;Mechanical Properties
G-META-19-21;MCQS;B;B;1;Material Testing
G-META-19-22;MCQS;D;D;1;Material Processing
G-META-19-46;NUM;1485 TO 1495;534000;0;Atomic Structure
G-META-19-26;MATCH;A;B;0;Material Manufacturing
G-META-19-27;MATCH;D;D;1;Material Manufacturing
G-META-19-29;MATCH;A;A;1;Phase Transition
G-META-19-30;MCQS;C;C;1;Material Characterization
G-META-19-31;MATCH;D;D;1;Material Applications
G-META-19-34;MATCH;B;C;0;Material Applications
G-META-19-47;NUM;0.4 TO 5.1;9,3;0;Mechanical Properties
G-META-19-48;NUM;11.0 TO 12.5;8,6;0;Thermodynamics
G-META-19-49;NUM;155.0 T0 165.0;75;0;Transport Phenomena
G-META-19-52;NUM;130.0 TO 134.0;4429;0;Fluid Mechanics
G-META-19-54;NUM;3.6 TO 4.2;37,2;0;Electrical Properties
G-META-19-55;NUM;955 TO 965;66667;0;Thermodynamics
G-META-20-22;NUM;48O TO 494;993;0;Mechanical Properties
G-META-20-23;NUM;4;4;1;Material Processing
G-META-20-2;MCQS;B;B;1;Mechanical Properties
G-META-20-3;MCQS;B;D;0;Atomic Structure
G-META-20-4;MCQS;D;D;1;Electrical Properties
G-META-20-5;MCQS;B;B;1;Electrical Properties
G-META-20-6;MCQS;C;B;0;Material Manufacturing
G-META-20-8;MCQS;B;B;1;Mechanical Properties
G-META-20-9;MCQS;D;D;1;Material Testing
G-META-20-24;NUM;5.6 TO 5.8;5,7;1;Thermodynamics
G-META-20-25;NUM;7 TO 9;32;0;Thermodynamics
G-META-20-14;MCQS;B;B;1;Atomic Structure
G-META-20-15;MCQS;A;A;1;Mechanical Properties
G-META-20-16;MCQS;A;D;0;Mechanical Properties
G-META-20-18;MCQS;A;B;0;Material Manufacturing
G-META-20-20;MCQS;D;B;0;Material Processing
G-META-20-40;NUM;0.018 TO 0.020;0,053;0;Transport Phenomena
G-META-20-43;NUM;0.190 TO 0.238;0,004;0;Mechanical Properties
G-META-20-27;MCQS;B;B;1;Atomic Structure
G-META-20-30;MATCH;D;B;0;Material Manufacturing
G-META-20-32;MATCH;C;C;1;Material Manufacturing
G-META-20-33;MATCH;C;B;0;Material Manufacturing
G-META-20-35;MATCH;D;C;0;Material Applications
G-META-20-44;NUM;0.54 TO 0.58;0,01;0;Thermodynamics
G-META-20-45;NUM;15;25;0;Thermodynamics
G-META-20-38;MCQS;D;A;0;Atomic Structure
G-META-20-39;MATCH;C;B;0;Magnetic Properties
G-META-20-48;NUM;28.6 TO 29.0;0,2;0;Material Processing
G-META-20-49;NUM;19 TO 21;10;0;Fluid Mechanics
G-META-21-5;MCQS;D;A;0;Material Applications
G-XEC-2012-3;MCQS;A;A;1;Thermodynamics
G-META-21-7;MCQS;B;D;0;Mechanical Properties
G-META-21-8;MCQS;A;B;0;Mechanical Properties
G-META-21-10;MCQS;C;D;0;Material Manufacturing
G-XEC-2012-4;MCQS;B;B;1;Thermodynamics
G-META-21-12;MCQS;A;B;0;Material Manufacturing
G-META-21-13;MCQS;B;B;1;Material Manufacturing
G-META-20-50;NUM;0.14 TO 0.16;2,06;0;Atomic Structure
G-XEC-2012-6;MCQS;C;C;1;Thermodynamics
G-META-20-51;NUM;933 TO 939;974;0;Material Applications
G-META-21-28;MATCH;C;B;0;Material Testing
G-XEC-2012-7;MCQS;B;B;1;Thermodynamics
G-META-20-52;NUM;2.6 TO 3.0;4;0;Thermodynamics
G-META-21-32;MCQS;A;A;1;Mechanical Properties
G-META-21-34;MCQS;A;D;0;Fluid Mechanics
G-META-21-35;MATCH;A;C;0;Material Manufacturing
G-META-21-36;MCQS-NUM;A;C;0;Material Manufacturing
G-META-20-53;NUM;14 TO 18;16;1;Material Processing
