qids;qstr;correct_result;filtered_result;overlap;topic
G-META-16-22;MCQS;D;D;1;Thermodynamics
G-META-16-23;MCQS;D;D;1;Atomic Structure
G-META-16-24;NUM;25.5 TO 26.5;25,9;1;Mechanical Properties
G-META-16-25;NUM;0.9 TO 1.1;249;0;Material Manufacturing
G-META-16-32;NUM;-168.7 TO -168.1;180,498;0;Atomic Structure
G-META-16-35;NUM;31.0 TO 32.0;31,43;1;Transport Phenomena
G-META-16-36;MATCH;A;A;1;Electrical Properties
G-META-16-37;NUM;10.0 TO 10.5;8;0;Thermodynamics
G-META-16-38;NUM;2.0 TO 2.5;1,85;0;Material Processing
G-META-16-39;NUM;97.5 TO 98.3;97,34;0;Thermodynamics
G-META-16-4;MCQS;A;A;1;Material Manufacturing
G-META-16-40;NUM;11.6 TO 11.8;9,8;0;Phase Transition
G-META-16-42;MCQS;A;A;1;Material Manufacturing
G-META-16-48;NUM;115 TO 125;1697;0;Material Processing
G-META-16-49;NUM;14.0 TO 15.5;12;0;Mechanical Properties
G-META-16-5;MCQS;B;B;1;Mechanical Properties
G-META-16-50;NUM;1.3 TO 1.5;1,414;1;Mechanical Properties
G-META-16-51;MCQS-NUM;A;C;0;Material Processing
G-META-16-52;NUM;1.7 TO 1.9;;0;Material Processing
G-META-16-53;MCQS-NUM;D;A;0;Fluid Mechanics
G-META-16-54;MCQS-NUM;C;C;1;Atomic Structure
G-META-16-55;MATCH;C;C;1;Mechanical Properties
G-META-16-6;MCQS;D;D;1;Thermodynamics
G-META-16-7;MCQS;A;A;1;Atomic Structure
G-META-16-8;MCQS;C;B;0;Material Processing
G-META-16-9;MATCH;B;B;1;Atomic Structure
G-META-17-10;NUM;13.30 TO 15.50;183,24;0;Phase Transition
G-META-17-11;NUM;0.030 TO 0.034;0,032;1;Mechanical Properties
G-META-17-12;NUM;0.36 TO 0.44;0,49;0;Material Processing
G-META-17-13;NUM;4;4;1;Phase Transition
G-META-17-14;MCQS;A;A;1;Thermodynamics
G-META-17-16;NUM;95.00 TO 125.00;18,97;0;Transport Phenomena
G-META-17-17;MCQS;C;B,C;0;Material Manufacturing
G-META-17-18;MCQS;A;A;1;Material Manufacturing
G-META-17-19;NUM;24.00 TO 26.00;58,43;0;Material Manufacturing
G-META-17-20;NUM;0.006 TO 0.010;0,008;1;Material Manufacturing
G-META-17-22;NUM;1.20 TO 1.40;;0;Atomic Structure
G-META-17-24;MCQS;D;D;1;Thermodynamics
G-META-17-25;MCQS;D;D;1;Material Processing
G-META-17-32;NUM;130.00 TO 135.00;149,96;0;Atomic Structure
G-META-17-34;NUM;0.170 TO 0.175;0,132;0;Atomic Structure
G-META-17-35;NUM;1;2;0;Material Manufacturing
G-META-17-36;MATCH;A;A;1;Material Manufacturing
G-META-17-37;NUM;0.0010 TO 0.0050;0,0127;0;Mechanical Properties
G-META-17-38;NUM;6650.00 TO 6750.00;6707,09;1;Magnetic Properties
G-META-17-39;NUM;1.80 TO 2.20;2;1;Atomic Structure
G-META-17-40;NUM;11470.00 TO 11580.00;9,58;0;Material Applications
G-META-17-42;NUM;0.92 TO 0.96;-74,66;0;Material Characterization
G-META-17-43;NUM;2.50 TO 2.60;10;0;Electrical Properties
G-META-17-45;MATCH;D;B;0;Material Manufacturing
G-META-17-47;MCQS-NUM;B;B;1;Material Manufacturing
G-META-17-48;NUM;0.009 TO 0.015;0,046;0;Material Applications
G-META-17-49;NUM;96.00 TO 98.00;97,43;1;Thermodynamics
G-META-17-5;MCQS-NUM;D;D;1;Thermodynamics
G-META-17-51;MCQS;B;B;1;Atomic Structure
G-META-17-52;NUM;0.110 TO 0.140;0,125;1;Atomic Structure
G-META-17-53;NUM;11.00 TO 12.50;1,22;0;Mechanical Properties
G-META-17-54;NUM;6.60 TO 7.40;79,26;0;Atomic Structure
G-META-17-55;MCQS-NUM;C;C;1;Material Applications
G-META-17-6;MCQS;A;A;1;Atomic Structure
G-META-17-7;NUM;4900 TO 4940;4920;1;Thermodynamics
G-META-17-9;MCQS;B;A;0;Mechanical Properties
G-META-18-1;MCQS;A;A;1;Electrical Properties
G-META-18-10;MCQS-NUM;C;C;1;Material Applications
G-META-18-11;MCQS;D;D;1;Miscellaneous
G-META-18-13;MCQS-NUM;D;D;1;Material Testing
G-META-18-14;MCQS;D;A;0;Material Applications
G-META-18-15;MCQS;B;B;1;Material Manufacturing
G-META-18-16;MCQS;B;B;1;Mechanical Properties
G-META-18-17;MCQS;C;C;1;Material Processing
G-META-18-18;MCQS;B;B;1;Mechanical Properties
G-META-18-19;MCQS;C;C;1;Phase Transition
G-META-18-2;MCQS;A;A;1;Material Processing
G-META-18-20;MCQS;B;B;1;Material Manufacturing
G-META-18-24;NUM;0.9 TO 1.1;109,1;0;Material Characterization
G-META-18-25;NUM;180 TO 220;200;1;Material Processing
G-META-18-26;MCQS-NUM;A;A;1;Mechanical Properties
G-META-18-27;MCQS;B;B;1;Thermodynamics
G-META-18-28;MCQS;D;A;0;Phase Transition
G-META-18-29;MCQS;C;A;0;Transport Phenomena
G-META-18-3;MCQS;A;A;1;Thermodynamics
G-META-18-32;MATCH;C;C;1;Material Applications
G-META-18-34;MCQS-NUM;A;A;1;Transport Phenomena
G-META-18-36;MATCH;C OR D;D;1;Mechanical Properties
G-META-18-39;MCQS-NUM;B;B;1;Material Manufacturing
G-META-18-4;MCQS;A;A;1;Material Manufacturing
G-META-18-41;NUM;0.96 TO 0.98;0,97;1;Mechanical Properties
G-META-18-42;NUM;-5.5 TO -4.5;90,5;0;Material Processing
G-META-18-44;NUM;1.9 TO 2.0;1,84;0;Material Manufacturing
G-META-18-45;NUM;0.9 TO 1.0;0,08;0;Material Processing
G-META-18-46;NUM;4.5 TO 4.8;3,18;0;Atomic Structure
G-META-18-47;NUM;1500 TO 1600;7,8;0;Atomic Structure
G-META-18-48;NUM;24.9 TO 29.0;21,1;0;Phase Transition
G-META-18-49;NUM;14.9 TO 15.1;;0;Material Manufacturing
G-META-18-5;MCQS;D;D;1;Mechanical Properties
G-META-18-50;NUM;0.74 TO 0.78;0,75;1;Material Applications
G-META-18-51;NUM;427 TO 432;328,8;0;Thermodynamics
G-META-18-52;NUM;0.225 TO 0.235;0,233;1;Material Manufacturing
G-META-18-53;NUM;0.450 TO 0.480;0,283;0;Material Manufacturing
G-META-18-55;NUM;555.5 TO 565.5;7065;0;Material Applications
G-META-18-6;MCQS-NUM;D;D;1;Transport Phenomena
G-META-18-8;MCQS;B;B;1;Electrical Properties
G-META-18-9;MCQS;D;D;1;Atomic Structure
G-META-19-10;MCQS;D;D;1;Atomic Structure
G-META-19-12;MCQS;C;C;1;Thermodynamics
G-META-19-13;MCQS;D;D;1;Material Processing
G-META-19-14;MCQS;C;C;1;Atomic Structure
G-META-19-15;MCQS;A;A;1;Material Manufacturing
G-META-19-16;MCQS;B;B;1;Material Manufacturing
G-META-19-17;MCQS;C;A;0;Material Processing
G-META-19-18;MCQS;B;B;1;Mechanical Properties
G-META-19-19;MCQS-NUM;C;C;1;Material Applications
G-META-19-21;MCQS;B;B;1;Material Applications
G-META-19-22;MCQS;D;C;0;Thermodynamics
G-META-19-24;NUM;0.153 TO 0.155;0,154;1;Material Manufacturing
G-META-19-25;NUM;16.0 TO 17.4;1,7;0;Material Manufacturing
G-META-19-26;MATCH;A;A;1;Thermodynamics
G-META-19-27;MATCH;D;D;1;Phase Transition
G-META-19-29;MATCH;A;A;1;Transport Phenomena
G-META-19-30;MCQS;C;C;1;Material Applications
G-META-19-31;MATCH;D;D;1;Mechanical Properties
G-META-19-32;MCQS;A;C;0;Material Processing
G-META-19-34;MATCH;B;B;1;Material Applications
G-META-19-35;MCQS-NUM;D;A;0;Mechanical Properties
G-META-19-36;NUM;2.90 TO 3.10;3;1;Material Testing
G-META-19-40;NUM;0.04 TO 0.06;0,05;1;Mechanical Properties
G-META-19-42;NUM;0.11 TO 0.13;12,38;0;Material Applications
G-META-19-43;NUM;0.039 TO 0.042;0,042;1;Atomic Structure
G-META-19-44;NUM;2347 TO 2357;2352;1;Material Applications
G-META-19-45;NUM;1927 TO 1937;2,45;0;Mechanical Properties
G-META-19-46;NUM;1485 TO 1495;1494;1;Thermodynamics
G-META-19-47;NUM;0.4 TO 5.1;1,4;1;Phase Transition
G-META-19-48;NUM;11.0 TO 12.5;118,8;0;Thermodynamics
G-META-19-49;NUM;155.0 T0 165.0;160;1;Material Applications
G-META-19-5;MCQS-NUM;C;C;1;Material Manufacturing
G-META-19-52;NUM;130.0 TO 134.0;239,7;0;Material Manufacturing
G-META-19-54;NUM;3.6 TO 4.2;20;0;Material Applications
G-META-19-55;NUM;955 TO 965;960;1;Atomic Structure
G-META-19-7;MCQS;B;B;1;Atomic Structure
G-META-19-8;MCQS;B;B;1;Atomic Structure
G-META-19-9;MCQS;A;A;1;Mechanical Properties
G-META-20-10;MCQS;C;C;1;Material Manufacturing
G-META-20-11;MCQS-NUM;C;D;0;Material Processing
G-META-20-14;MCQS;B;B;1;Material Manufacturing
G-META-20-15;MCQS;A;C;0;Material Testing
G-META-20-16;MCQS;A;A;1;Material Processing
G-META-20-18;MCQS;A;A;1;Fluid Mechanics
G-META-20-2;MCQS;B;B;1;Fluid Mechanics
G-META-20-20;MCQS;D;A,D;0;Material Manufacturing
G-META-20-22;NUM;48O TO 494;152;0;Material Manufacturing
G-META-20-23;NUM;4;4;1;Material Manufacturing
G-META-20-24;NUM;5.6 TO 5.8;11,4;0;Thermodynamics
G-META-20-25;NUM;7 TO 9;4;0;Atomic Structure
G-META-20-27;MCQS;B;C;0;Mechanical Properties
G-META-20-28;MCQS-NUM;C;B;0;Thermodynamics
G-META-20-3;MCQS;B;C;0;Mechanical Properties
G-META-20-30;MATCH;D;D;1;Electrical Properties
G-META-20-32;MATCH;C;C;1;Transport Phenomena
G-META-20-33;MATCH;C;C;1;Transport Phenomena
G-META-20-34;MCQS-NUM;C;D;0;Phase Transition
G-META-20-35;MATCH;D;D;1;Atomic Structure
G-META-20-36;MCQS-NUM;C;C;1;Phase Transition
G-META-20-37;MCQS;B;B;1;Atomic Structure
G-META-20-38;MCQS;D;D;1;Material Applications
G-META-20-39;MATCH;C;C;1;Material Applications
G-META-20-4;MCQS;D;D;1;Mechanical Properties
G-META-20-40;NUM;0.018 TO 0.020;0,307;0;Mechanical Properties
G-META-20-43;NUM;0.190 TO 0.238;3,981;0;Material Applications
G-META-20-44;NUM;0.54 TO 0.58;0,22;0;Material Testing
G-META-20-45;NUM;15;15;1;Thermodynamics
G-META-20-48;NUM;28.6 TO 29.0;21,9;0;Material Applications
G-META-20-49;NUM;19 TO 21;0;0;Material Manufacturing
G-META-20-5;MCQS;B;B;1;Thermodynamics
G-META-20-50;NUM;0.14 TO 0.16;0,062;0;Miscellaneous
G-META-20-51;NUM;933 TO 939;983;0;Thermodynamics
G-META-20-52;NUM;2.6 TO 3.0;2,83;1;Thermodynamics
G-META-20-53;NUM;14 TO 18;16;1;Atomic Structure
G-META-20-54;NUM;0.06 TO 0.08;0,19;0;Electrical Properties
G-META-20-6;MCQS;C;C;1;Phase Transition
G-META-20-7;MCQS;MARKS TO ALL;C;1;Atomic Structure
G-META-20-8;MCQS;B;B;1;Mechanical Properties
G-META-20-9;MCQS;D;D;1;Thermodynamics
G-META-21-10;MCQS;C;C;1;Fluid Mechanics
G-META-21-11;MCQS;B;B;1;Thermodynamics
G-META-21-12;MCQS;A;A;1;Fluid Mechanics
G-META-21-13;MCQS;B;B;1;Material Manufacturing
G-META-21-15;NUM;48;98;0;Material Manufacturing
G-META-21-16;NUM;-48251 TO -48240;24125;0;Material Manufacturing
G-META-21-17;NUM;-2962 TO -2958;2970;0;Material Applications
G-META-21-19;NUM;20;20;1;Transport Phenomena
G-META-21-20;NUM;1.7 TO 2.3;4;0;Atomic Structure
G-META-21-21;NUM;34.8 TO 36.1;60;0;Thermodynamics
G-META-21-22;NUM;0.22 TO 0.30;0,26;1;Electrical Properties
G-META-21-23;NUM;840000;840000;1;Material Manufacturing
G-META-21-25;NUM;6.85 TO 7.00;41,59;0;Material Processing
G-META-21-28;MATCH;C;C;1;Material Processing
G-META-21-29;MCQS;C;;0;Material Processing
G-META-21-30;MCQS;B;B;1;Phase Transition
G-META-21-31;MCQS;B;D;0;Material Testing
G-META-21-32;MCQS;A;;0;Phase Transition
G-META-21-34;MCQS;A;A;1;Transport Phenomena
G-META-21-35;MATCH;A;A;1;Thermodynamics
G-META-21-36;MCQS-NUM;A;A;1;Atomic Structure
G-META-21-40;NUM;25;150;0;Mechanical Properties
G-META-21-41;NUM;58 TO 62;120;0;Material Manufacturing
G-META-21-42;NUM;0.90 TO 0.94 OR -0.94 TO -0.90;0,92;1;Electrical Properties
G-META-21-43;NUM;-24.00 TO -23.50;-23,74;1;Thermodynamics
G-META-21-44;NUM;2230 TO 2270;-6145;0;Mechanical Properties
G-META-21-47;NUM;40;20;0;Magnetic Properties
G-META-21-48;NUM;0.6 TO 0.6;0,6;1;Thermodynamics
G-META-21-49;NUM;98 TO 102;2;0;Thermodynamics
G-META-21-5;MCQS;D;A,D;0;Atomic Structure
G-META-21-52;NUM;-0.60 TO -0.50;-0,0383;0;Phase Transition
G-META-21-53;NUM;0.017 TO 0.023;0,124;0;Fluid Mechanics
G-META-21-54;NUM;4;4;1;Electrical Properties
G-META-21-6;MCQS;D;C;0;Material Manufacturing
G-META-21-7;MCQS;B;D;0;Material Manufacturing
G-META-21-8;MCQS;A;B;0;Thermodynamics
G-META-21-9;MCQS;D;B;0;Transport Phenomena
G-META-22-12;MCQS;B;B;1;Atomic Structure
G-META-22-13;MCQS;C;C;1;Phase Transition
G-META-22-14;MCQS;C;C;1;Mechanical Properties
G-META-22-15;MCQS;A;A;1;Mechanical Properties
G-META-22-16;MCQS;C;C;1;Mechanical Properties
G-META-22-17;MCQS;D;D;1;Mechanical Properties
G-META-22-18;MCQS;A;A;1;Material Testing
G-META-22-19;MCQS;B;B;1;Material Processing
G-META-22-20;MATCH;D;D;1;Atomic Structure
G-META-22-24;MCQS;A;A;1;Material Manufacturing
G-META-22-25;MCQS;A;C;0;Material Manufacturing
G-META-22-26;MCQS;C;C;1;Phase Transition
G-META-22-27;MATCH;D;A;0;Material Characterization
G-META-22-28;MCQS;B;B;1;Material Applications
G-META-22-29;MATCH;B;A;0;Material Applications
G-META-22-30;MCQS;A,B,C;A,B,C;1;Mechanical Properties
G-META-22-31;MCQS;B,C;B,C;1;Thermodynamics
G-META-22-32;MCQS;B,C;A,C;0;Transport Phenomena
G-META-22-33;MCQS;B,D;B,D;1;Fluid Mechanics
G-META-22-38;MATCH;A;A;1;Electrical Properties
G-META-22-39;MCQS;B;A;0;Thermodynamics
G-META-22-40;MATCH;B;C;0;Mechanical Properties
G-META-22-41;MCQS;C;C;1;Material Processing
G-META-22-43;MCQS;C,D;C,D;1;Mechanical Properties
G-META-22-44;MCQS;A,C,D;A,B,C,D;0;Atomic Structure
G-META-22-45;MCQS;A,B,D;C,D;0;Electrical Properties
G-META-22-46;NUM;0.069 TO 0.075;0,073;1;Electrical Properties
G-META-22-47;NUM;4.3 TO 4.3;4,3;1;Material Manufacturing
G-META-22-48;NUM;2.7 TO 2.76;0;0;Mechanical Properties
G-META-22-49;NUM;-233.5 TO -232.5;-218,5;0;Material Testing
G-META-22-50;NUM;2.86 TO 2.93;0,05;0;Thermodynamics
G-META-22-51;NUM;400 TO 400;1;0;Thermodynamics
G-META-22-53;NUM;0.121 TO 0.125;0,123;1;Atomic Structure
G-META-22-55;NUM;25.1 TO 25.9;25,5;1;Mechanical Properties
G-META-22-56;NUM;15 TO 15;15;1;Mechanical Properties
G-META-22-57;NUM;1.059 TO 1.071;1;0;Material Manufacturing
G-META-22-58;NUM;197 TO 201;7874;0;Material Processing
G-META-22-59;NUM;220 TO 220;214;0;Transport Phenomena
G-META-22-60;NUM;200 TO 210;0;0;Mechanical Properties
G-META-22-62;NUM;16.55 TO 18.55;1,53;0;Atomic Structure
G-META-22-65;NUM;59 TO 61;60;1;Material Manufacturing
G-XEC-2012-1;MCQS;D;D;1;Material Manufacturing
G-XEC-2012-10;MATCH;B;B;1;Material Manufacturing
G-XEC-2012-11;MATCH;A;A;1;Material Applications
G-XEC-2012-12;MATCH;D;D;1;Thermodynamics
G-XEC-2012-13;MATCH;C;C;1;Thermodynamics
G-XEC-2012-14;MCQS-NUM;D;D;1;Atomic Structure
G-XEC-2012-15;MCQS-NUM;B;B;1;Magnetic Properties
G-XEC-2012-16;MCQS-NUM;C;A;0;Material Processing
G-XEC-2012-17;MCQS-NUM;A;A;1;Fluid Mechanics
G-XEC-2012-18;MCQS-NUM;B;;0;Material Applications
G-XEC-2012-19;MCQS-NUM;D;D;1;Thermodynamics
G-XEC-2012-2;MCQS;C;C;1;Mechanical Properties
G-XEC-2012-21;MCQS-NUM;B;B;1;Mechanical Properties
G-XEC-2012-22;MCQS-NUM;C;C;1;Material Manufacturing
G-XEC-2012-3;MCQS;A;A;1;Thermodynamics
G-XEC-2012-4;MCQS;B;B;1;Material Manufacturing
G-XEC-2012-5;MCQS;A;C;0;Material Manufacturing
G-XEC-2012-6;MCQS;C;C;1;Atomic Structure
G-XEC-2012-7;MCQS;B;B;1;Thermodynamics
G-XEC-2012-8;MCQS;D;D;1;Material Applications
G-XEC-2012-9;MCQS;A;A;1;Material Testing
G-XEC-2013-1;MCQS;A;A;1;Thermodynamics
G-XEC-2013-10;MATCH;D;D;1;Thermodynamics
G-XEC-2013-11;MATCH;C;C;1;Mechanical Properties
G-XEC-2013-12;MATCH;C;C;1;Fluid Mechanics
G-XEC-2013-13;NUM;0.178 to 0.18;0,175;0;Material Manufacturing
