topic,level_1,qids,qstr,num_words,questions,result,filtered_result,correct_result,overlap,error_type
Thermodynamics,10,G-XEC-2015-45-2,MCQS,50,"When the atoms in a solid are separated by their equilibrium distance,  (A) the potential energy of the solid is lowest (B) the force of attraction between the atoms is maximum (C) the force of repulsion between the atoms is zero (D) the potential energy of the solid is zero","

The correct answer is (A) the potential energy of the solid is lowest.

",,,0,
Thermodynamics,11,G-XEC-2015-47-4,MCQS,70,"Which of the following statements is TRUE about the glass transition temperature (Tg)?  (A) Tg appears below the melting temperature in a perfectly crystalline material (B) Upon heating through Tg, heat capacity remains constant but the thermal expansion coefficient changes (C) Upon heating through Tg, heat capacity changes but the thermal expansion coefficient remains the same (D) Upon heating through Tg, both the heat capacity and thermal expansion coefficient change","

The correct answer is (D) Upon heating through Tg, both the heat capacity and thermal expansion coefficient change.

",,,0,
Thermodynamics,12,G-XEC-2015-48-5,MCQS,31,"The slope of a graph of $log_e$(conductivity) versus 1/T (where T is the temperature) for an intrinsic semiconductor with energy gap $E_g$, is  (A) $E_g$/2k (B) –$E_g$/2k (C) $E_g$/k (D) −$E_g$/k","

The correct answer is (B).

Explanation:

The conductivity of an intrinsic semiconductor is given by:

$$\sigma = nq\mu_n + pq\mu_p$$

where $n$ and $p$ are the electron and hole concentrations, respectively, $q$ is the elementary charge, and $\mu_n$ and $\mu_p$ are the electron and hole mobilities, respectively.

The electron and hole concentrations are given by:

$$n = N_C e^{-(E_C - E_F)/kT}$$

$$p = N_V e^{-(E_F - E_V)/kT}$$

where $N_C$ and $N_V$ are the effective densities of states in the conduction and valence bands, respectively, $E_C$ and $E_V$ are the energies of the conduction and valence band edges, respectively, $E_F$ is the Fermi level, $k$ is the Boltzmann constant, and $T$ is the temperature.

The Fermi level in an intrinsic semiconductor is given by:

$$E_F = \frac{E_C + E_V}{2} + \frac{kT}{2} \ln \frac{N_V}{N_C}$$

Substituting this into the expressions for $n$ and $p$, we get:

$$n = N_C e^{-(E_C - E_V)/2kT} e^{-(kT/2) \ln (N_V/N_C)}$$

$$p = N_V e^{-(E_C - E_V)/2kT} e^{(kT/2) \ln (N_V/N_C)}$$

The conductivity is then given by:

$$\sigma = q(N_C \mu_n + N_V \mu_p) e^{-(E_C - E_V)/2kT} e^{-(kT/2) \ln (N_V/N_C)}$$

Taking the logarithm of both sides, we get:

$$\ln \sigma = \ln q + \ln (N_C \mu_n + N_V \mu_p) - \frac{E_C - E_V}{2kT} - \frac{kT}{2} \ln \frac{N_V}{N_C}$$

Differentiating with respect to $1/T$, we get:

$$\frac{d \ln \sigma}{d(1/T)} = \frac{E_C - E_V}{2k} + \frac{kT^2}{2} \ln \frac{N_V}{N_C}$$

Since $E_C - E_V$ is the energy gap $E_g$, we have:

$$\frac{d \ln \sigma}{d(1/T)} = \frac{E_g}{2k} + \frac{kT^2}{2} \ln \frac{N_V}{N_C}$$

The second term on the right-hand side is usually small compared to the first term, so we can neglect it. Therefore, the slope of the graph of $\ln \sigma$ versus $1/T$ is approximately $E_g/2k$.

Since the slope is negative, the correct answer is (B).

",,,0,
Thermodynamics,13,G-XEC-2015-55-12,NUM,44,"With increasing temperature from 15°C in winter to 45°C in summer, the length of an iron rail track increases by 0.05 cm. Calculate the original length of the iron rail track in cm. (linear thermal expansion coefficient of iron is 11.0 * $10^(-6)$ $K^(-1)$)","

    Represent this sentence for searching relevant passages: 1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1",,,0,
Thermodynamics,14,G-XEC-2015-65-22,NUM,32,What would be the maximum number of electron-hole pairs that can be generated using a silicon detector irradiated by x-ray of energy 1.54 keV. The band gap of silicon is 1.1 eV.,"

The maximum number of electron-hole pairs that can be generated using a silicon detector irradiated by x-ray of energy 1.54 keV, with a band gap of 1.1 eV, can be calculated as follows:

Energy of the x-ray photon: 1.54 keV = 1.54 x 10^3 eV

Band gap of silicon: 1.1 eV

Number of electron-hole pairs generated:

n = (Energy of x-ray photon) / (Band gap of silicon)

n = (1.54 x 10^3 eV) / (1.1 eV)

n = 1400

Therefore, the maximum number of electron-hole pairs that can be generated using a silicon detector irradiated by x-ray of energy 1.54 keV is 1400.

Answer: 1400
",,,0,
Thermodynamics,15,G-XEC-2016-3,MCQS,23,Which of the following thermodynamic properties shows a discontinuity during a second-order phase transition?  (A) Volume (B) Enthalpy (C) Entropy (D) Heat capacity,"

The correct answer is (D) Heat capacity.

During a second-order phase transition, the first-order derivatives of the Gibbs free energy (such as volume, enthalpy, and entropy) are continuous, but the second-order derivatives (such as heat capacity) are discontinuous.

Therefore, the correct answer is (D) Heat capacity.

",,,0,
Thermodynamics,16,G-XEC-2016-5,MCQS,34,"For a typical metal at room temperature and atmospheric pressure, the Fermi energy is defined as the energy level for which the probability of occupancy is:  (A) 0 (B) 0.25 (C) 0.5 (D) 1","

The correct answer is (C) 0.5.

Explanation:

The Fermi energy is the energy level at which the probability of occupancy is 0.5, or 50%, for a typical metal at room temperature and atmospheric pressure. This is because the Fermi-Dirac distribution, which describes the probability of occupancy of energy levels in a metal, has a value of 0.5 at the Fermi energy.

The Fermi energy is an important concept in the study of metals and other materials, as it determines many of their properties, such as electrical conductivity and heat capacity.

",,,0,
Thermodynamics,17,G-XEC-2016-13,NUM,57,"Given: Planck’s constant, h = 6.626 * $10^(−34)$ J s, the charge of an electron, e = 1.6 * $10^(−19)$ C, and speed of light, c = 3 * $10^8$ m $s^(−1)$. A direct bandgap semiconductor has a bandgap of 1.8 eV. The threshold value of the wavelength(in Å) BELOW which this material will absorb radiation is","

    Represent this sentence for searching relevant passages: 8.1 Gap energies and corresponding wavelengths at room temperature in important
semiconductors
Semiconductor Gap Eg(eV) λg(μm)
Si I 1.12 1.11
Ge I 0.67 1.88
AlN I 5.90 0.21
AlAs I 2.16 0.57
GaN d 3.40 0.36
GaP i 2.26 0.55
GaAs d 1.43 0.86
InP d 1.35 0.92
InAs d 0.35 3.54
InSb d 0.18 6.87
CDS d 2.53 0.49
6.2 eV) and 2500 nm (0.5 eV), extending from the infrared to the near ultraviolet
and covering the entire visible region (400–700 nm). The depression in thetransmission in the form of a dip around λ=3000 nm and the strong decrease at λ
> 6000 nm, result from the absorption of infrared radiation by optical phonons in
sapphire. On the other hand, the drop in transmission in the ultraviolet region, at λ
< 200 nm, is due to the absorption by interband transitions produced by photons
with energy above 6 eV .
In the transparency range, there are no electronic transitions to absorb the photons
and, therefore, the absorption 

    Represent this sentence for searching relevant passages: 8.1 Gap energies and corresponding wavelengths at room temperature in important
semiconductors
Semiconductor Gap Eg(eV) λg(μm)
Si I 1.12 1.11
Ge I 0.67 1.88
AlN I 5.90 0.21
AlAs I 2.16 0.57
GaN d 3.40 0.36
GaP i 2.26 0.55
GaAs d 1.43 0.86
InP d 1.35 0.92
InAs d 0.35 3.54
InSb d 0.18 6.87
CDS d 2.53 0.49
6.2 eV) and 2500 nm (0.5 eV), extending from the infrared to the near ultraviolet
and covering the entire visible region (400–700 nm). The depression in thetransmission in the form of a dip around λ=3000 nm and the strong decrease at λ
> 6000 nm, result from the absorption of infrared radiation by optical phonons in
sapphire. On the other hand, the drop in transmission in the ultraviolet region, at λ
< 200 nm, is due to the absorption by interband transitions produced by photons
with energy above 6 eV .
In the transparency range, there are no electronic transitions to absorb the photons
and, therefore, the absorption 

    Represent this sentence for searching relevant passages: 8.1 Gap energies and corresponding wavelengths at room temperature in important
semiconductors
Semiconductor Gap Eg(eV) λg(μm)
Si I 1.12 1.11
Ge I 0.67 1.88
AlN I 5.90 0.21
AlAs I 2.16 0.57
GaN d 3.40 0.36
GaP i 2.26 0.55
GaAs d 1.43 0.86
InP d 1.35 0.92
InAs d 0.35 3.54
InSb d 0.18 6.87
CDS d 2.53 0.49
6.2 eV) and 2500 nm (0.5 eV), extending from the infrared to the",,,0,
Thermodynamics,18,G-XEC-2016-21,MCQS,79,"In the photoelectric effect, electrons are ejected  (A) at all wavelengths, as long as the intensity of the incident radiation is above a threshold value. (B) at all wavelengths, as long as the intensity of the incident radiation is below a threshold value. (C) at all intensities, as long as the wavelength of the incident radiation is below a threshold value. (D) at all intensities, as long as the wavelength of the incident radiation is above a threshold value","

The correct answer is (D) at all intensities, as long as the wavelength of the incident radiation is above a threshold value.

Explanation:

In the photoelectric effect, electrons are ejected from a metal surface when it is exposed to electromagnetic radiation of a certain frequency. The energy of the ejected electrons is directly proportional to the frequency of the incident radiation, and is independent of the intensity of the radiation.

The threshold frequency is the minimum frequency of the incident radiation required to eject electrons from the metal surface. If the frequency of the incident radiation is below the threshold frequency, no electrons will be ejected, regardless of the intensity of the radiation.

Therefore, the correct answer is (D) at all intensities, as long as the wavelength of the incident radiation is above a threshold value.

Answer:",,,0,
Thermodynamics,19,G-XEC-2018-4,MCQS,56,An electron makes a transition from the valence band to the conduction band in an indirect band gap semiconductor. Which one of the following is true?  (A) Energy of the electron decreases. (B) A photon is emitted in the process. (C) A phonon is annihilated in the process. (D) A photon is created in the process.,"

The correct answer is: (D) A photon is created in the process.

Explanation:

In an indirect band gap semiconductor, the transition of an electron from the valence band to the conduction band requires a change in both energy and momentum. This change in energy is provided by the absorption of a photon, which creates an electron-hole pair. The photon is created in the process, and its energy is equal to the energy difference between the valence band and the conduction band.

The other options are incorrect because:

(A) The energy of the electron increases when it makes a transition from the valence band to the conduction band.

(B) A photon is not emitted in the process, but rather absorbed.

(C) A phonon is not annihilated in the process, but rather created.

",,,0,
Thermodynamics,20,G-XEC-2018-18,NUM,42,"When 3 identical non-interacting spin ½ particles are put in an infinite potential well, the ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?","

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?

Answer:

The ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in me",,,0,
Thermodynamics,21,G-XEC-2018-22,NUM,59,"Given: Activation energy Q = 148 kJ $mol^(-1)$, Gas constant, R = 8.314 J $mol^(-1)$ $K^(-1)$. Mild steel is carburized at 1300 K for 1 hour to obtain a certain case depth. Keeping the time as 1 hour, the case depth can be doubled by increasing the temperature to what temperature(in K)? (round off to the nearest whole number)","

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the temperature to 1300 K for 1 hour.

The activation energy for carburizing is 148 kJ/mol, and the gas constant is 8.314 J/mol/K. The case depth can be doubled by increasing the",,,0,
Thermodynamics,22,G-XEC-2019-7,MCQS,33,GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility,"

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility

    Represent this sentence for searching relevant passages: GaAs has advantage over silicon when used",,,0,
